Title,Genre(s),Developer(s),Publisher(s)
Fallout 4,Action role-playing,Bethesda Game Studios,Bethesda Softworks
Fallout 76,Action role-playing,Bethesda Game Studios,Bethesda Softworks
Far Cry 3 Classic,First-person shooteropen world,Ubisoft,Ubisoft
Far Cry 4,First-person shooteropen world,Ubisoft Montreal,Ubisoft
Far Cry 5,First-person shooteropen world,Ubisoft Montreal,Ubisoft
Far Cry 6,First-person shooter,Ubisoft Toronto,Ubisoft
Far Cry Primal,Actionadventureopen world,Ubisoft Montreal,Ubisoft
Farming Simulator 15,Strategy & Simulation,Giants Software,Focus Home Interactive
Fear Effect Reinvented,Action-adventure,Sushee,Square Enix Collective
Fear Effect Sedna,"Role-playing, third-person shooter",Forever Entertainment,Square Enix Collective
Felix the Reaper,Puzzle,Kong Orange,Daedalic Entertainment
FIFA 14,Sports,EA Canada,Electronic Arts
FIFA 15,Sports,EA Canada,Electronic Arts
FIFA 16,Sports,EA Canada,Electronic Arts
FIFA 19,Sports,EA Canada,Electronic Arts
FIFA 21,Sports,EA Canada,Electronic Arts
FIFA 22,Sports,EA Canada,Electronic Arts
Final Fantasy Type-0 HD,Action role-playing,Square Enix,Square Enix
The Final Station,"Action & Adventure, Platformer",Do My Best,TinyBuild
Firewatch,"Adventure, walking simulator",Campo Santo,Campo Santo
The Flame in the Flood,Survival roguelite,The Molasses Flood,The Molasses Flood
Football Manager 2021,Sports,Sports Interactive,Sega
Football Manager 2022,Sports,Sports Interactive,Sega
Forza Horizon 2,Racing,Playground Games,Xbox Game Studios
Forza Horizon 3,Racing,Playground Games,Xbox Game Studios
Forza Horizon 4,Racing,Playground Games,Xbox Game Studios
Forza Horizon 5,Racing,Playground Games,Xbox Game Studios
Forza Motorsport 5,Sim racing,Turn 10 Studios,Xbox Game Studios
Forza Motorsport 6,Sim racing,Turn 10 Studios,Xbox Game Studios
Forza Motorsport 7,Sim racing,Turn 10 Studios,Xbox Game Studios
Freedom Finger,Shoot 'em up,Wide Right Interactive,Wide Right Interactive
Frostpunk,City-buildingsurvival,11 Bit Studios,11 Bit Studios
Full Metal Furies,Platform,Cellar Door Games,Cellar Door Games
Furi,Action,The Game Bakers,The Game Bakers
Gang Beasts,"Party game, Fighting",Boneloaf,Double Fine Productions
The Gardens Between,Adventure,The Voxel Agents,The Voxel Agents
Gas Guzzlers Extreme,Racing,Gamepires,Iceberg Interactive
Gato Roboto,"Action & Adventure, metroidvania",Doinksoft,Devolver Digital
Gears 5,Third-person shooter,The Coalition,Xbox Game Studios
Gears Tactics,Turn-based tactics,The CoalitionSplash Damage,Xbox Game Studios
Gears of War 4,Third-person shooter,The Coalition,Xbox Game Studios
Gears of War: Ultimate Edition,Third-person shooter,The Coalition,Xbox Game Studios
Geometry Wars 3 Dimensions,Action-adventure,Lucid Games,Sierra Entertainment
Ghost of a Tale,Stealth adventure,Seith CG,Seith CG
Ghosts 'n Goblins Resurrection,Platform,Capcom,Capcom
Ghostrunner,Actionplatform,One More Level,All in! Games505 Games
Goat Simulator,Simulation,Coffee Stain Studios,Double Eleven
Gods Remastered,Action,Robot RiotThe Bitmap Brothers,Robot Riot
Gone Home,Action & Adventure,The Fullbright Company,Midnight City
Goodbye Deponia,Point-and-click adventure,Daedalic Entertainment,Daedalic Entertainment
Grand Theft Auto The Trilogy The Definitive Edition,Action-adventure,Grove Street Games,Rockstar Games
